pins OK. expected src hashes: install ccd5fc7dbc2035b6  restore 2052d5642163f62e
HEAD 693681d20783; frames -> /home/user/Demo/progress/records/fxartifact1
· waiting for capture lock (5258s, held by pid 4615)
· waiting for capture lock (5269s, held by pid 4615)
· waiting for capture lock (5280s, held by pid 4615)
· waiting for capture lock (5290s, held by pid 4615)
· waiting for capture lock (5301s, held by pid 4615)
· waiting for capture lock (5311s, held by pid 4615)
· waiting for capture lock (5322s, held by pid 4615)
· waiting for capture lock (5333s, held by pid 4615)
· waiting for capture lock (5344s, held by pid 4615)
· waiting for capture lock (5354s, held by pid 4615)
· waiting for capture lock (5364s, held by pid 4615)
· waiting for capture lock (5375s, held by pid 4615)
· waiting for capture lock (5385s, held by pid 4615)
· waiting for capture lock (5395s, held by pid 4615)
· waiting for capture lock (5405s, held by pid 4615)
· waiting for capture lock (5416s, held by pid 4615)
· waiting for capture lock (5426s, held by pid 4615)
· waiting for capture lock (5436s, held by pid 4615)
· waiting for capture lock (5447s, held by pid 4615)
· waiting for capture lock (5457s, held by pid 4615)
· waiting for capture lock (5468s, held by pid 4615)
· waiting for capture lock (5478s, held by pid 4615)
· waiting for capture lock (5488s, held by pid 4615)
· waiting for capture lock (5499s, held by pid 4615)
· waiting for capture lock (5509s, held by pid 4615)
· waiting for capture lock (5520s, held by pid 4615)
· waiting for capture lock (5530s, held by pid 4615)
· waiting for capture lock (5541s, held by pid 4615)
· waiting for capture lock (5552s, held by pid 4615)
· waiting for capture lock (5563s, held by pid 4615)
· waiting for capture lock (5574s, held by pid 4615)
candidate installed & verified under the lock — src ccd5fc7dbc2035b6
renderer: ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)
-- staged hero (1/11, 52s, t=0.2876000000005588)
  # 1 hero.off  sha dd61344dcb1509d4  lit=0.52 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  # 2 hero.ahide  sha 73c683ed9f31640e  lit=0.52 cut=0 floor=0.55 sfloor=0.45 sandVis=false fxVis=true
  # 3 hero.a26  sha 6e2f520bfbd65218  lit=0.26 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  # 4 hero.a13  sha ca1ccd5f997a9dd4  lit=0.13 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  # 5 hero.a00  sha 8014138756e95c73  lit=0 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  # 6 hero.bfx0  sha f2034adf7487611b  lit=0.52 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=false
  # 7 hero.bon  sha a7ae46386c94844b  lit=0.52 cut=1 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  # 8 hero.c20  sha e1377036dcc2d4d2  lit=0.52 cut=0 floor=0.2 sfloor=0.45 sandVis=true fxVis=true
  # 9 hero.c10  sha 018f405ae516b37c  lit=0.52 cut=0 floor=0.1 sfloor=0.45 sandVis=true fxVis=true
  #10 hero.back  sha dd61344dcb1509d4  lit=0.52 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
-- staged temple (2/11, 0s, t=0.2876000000005588)
  #11 temple.off  sha 98c1174fbc5fd46b  lit=0.52 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  #12 temple.ahide  sha be5d0e77d777ad42  lit=0.52 cut=0 floor=0.55 sfloor=0.45 sandVis=false fxVis=true
  #13 temple.a26  sha 53b7a631ddde42df  lit=0.26 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  #14 temple.a13  sha 0e866cce98deb5b0  lit=0.13 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  #15 temple.a00  sha e9622da9382c6e4d  lit=0 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  #16 temple.bfx0  sha 32ebd44327000784  lit=0.52 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=false
  #17 temple.bon  sha 1d8b227b2259b39e  lit=0.52 cut=1 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
  #18 temple.back  sha 98c1174fbc5fd46b  lit=0.52 cut=0 floor=0.55 sfloor=0.45 sandVis=true fxVis=true
-- staged sly-closeup (3/11, 33s, t=0.2876000000005588)
